"","ID","stimid","rt","response","correct_response","orig_corr_tot","invt_corr_tot","orig_err_tot","invt_err_tot","orig_corr_pct","invt_corr_pct"
"71",9990,4.2,524.28,1,1,37,9,6,34,86.05,20.93
"164",9990,4.3,565.46,1,0,37,9,6,34,86.05,20.93
"67",9990,5.2,741.73,1,1,37,9,6,34,86.05,20.93
"33",9990,5.3,149.59,0,0,37,9,6,34,86.05,20.93
"45",9990,6.2,542.43,1,1,37,9,6,34,86.05,20.93
"94",9990,6.3,261.79,1,0,37,9,6,34,86.05,20.93
"15",9990,7.2,238.44,1,1,37,9,6,34,86.05,20.93
"41",9990,7.3,310.11,0,0,37,9,6,34,86.05,20.93
"156",9990,8.2,541.91,1,1,37,9,6,34,86.05,20.93
"140",9990,8.3,557.6,1,0,37,9,6,34,86.05,20.93
"130",9990,9.2,565.16,1,1,37,9,6,34,86.05,20.93
"174",9990,9.3,773.78,1,0,37,9,6,34,86.05,20.93
"170",9990,10.2,517.16,1,1,37,9,6,34,86.05,20.93
"13",9990,10.3,278.17,1,0,37,9,6,34,86.05,20.93
"154",9990,11.2,573.56,1,1,37,9,6,34,86.05,20.93
"144",9990,11.3,821.29,1,0,37,9,6,34,86.05,20.93
"73",9990,12.2,958.6,1,1,37,9,6,34,86.05,20.93
"31",9990,12.3,302.89,1,0,37,9,6,34,86.05,20.93
"27",9990,13.2,534.22,1,1,37,9,6,34,86.05,20.93
"102",9990,13.3,109.33,1,0,37,9,6,34,86.05,20.93
"158",9990,14.2,582.65,1,1,37,9,6,34,86.05,20.93
"43",9990,14.3,293.83,1,0,37,9,6,34,86.05,20.93
"19",9990,15.2,293.44,1,1,37,9,6,34,86.05,20.93
"49",9990,15.3,374.16,1,0,37,9,6,34,86.05,20.93
"7",9990,16.2,486.6,1,1,37,9,6,34,86.05,20.93
"150",9990,16.3,702.07,1,0,37,9,6,34,86.05,20.93
"81",9990,17.2,548.23,1,1,37,9,6,34,86.05,20.93
"47",9990,17.3,365.82,1,0,37,9,6,34,86.05,20.93
"55",9990,18.2,631.83,1,1,37,9,6,34,86.05,20.93
"138",9990,18.3,405.92,0,0,37,9,6,34,86.05,20.93
"120",9990,19.2,308.93,1,1,37,9,6,34,86.05,20.93
"110",9990,19.3,733.8,1,0,37,9,6,34,86.05,20.93
"92",9990,20.2,460.74,1,1,37,9,6,34,86.05,20.93
"98",9990,20.3,294.48,1,0,37,9,6,34,86.05,20.93
"21",9990,21.2,314.46,0,1,37,9,6,34,86.05,20.93
"5",9990,21.3,1371.83,0,0,37,9,6,34,86.05,20.93
"83",9990,22.2,761.95,1,1,37,9,6,34,86.05,20.93
"57",9990,22.3,372.5,1,0,37,9,6,34,86.05,20.93
"100",9990,23.2,309.72,0,1,37,9,6,34,86.05,20.93
"75",9990,23.3,974,1,0,37,9,6,34,86.05,20.93
"168",9990,24.2,558.41,1,1,37,9,6,34,86.05,20.93
"118",9990,24.3,302.45,0,0,37,9,6,34,86.05,20.93
"61",9990,25.2,462.24,0,1,37,9,6,34,86.05,20.93
"51",9990,25.3,469.93,1,0,37,9,6,34,86.05,20.93
"35",9990,26.2,469.58,1,1,37,9,6,34,86.05,20.93
"53",9990,26.3,773.98,1,0,37,9,6,34,86.05,20.93
"112",9990,27.2,398.48,0,1,37,9,6,34,86.05,20.93
"108",9990,27.3,451.27,1,0,37,9,6,34,86.05,20.93
